,Particulars,search_name,Address
1128,NILE SHIP SUPPLIES,NILE SHIP SUPPLIES,"New No 13 Old 7, 1st Floor, Rangaiah Street, Choolai, Chennai 600112., Mob: 98847 84446"
1129,Nini Gourmet Foods Lip,Nini Gourmet Foods Lip,"NO.2/19, Subbu Street,, Tiruvanmiyur, Chennai,, Tamil Nadu, 600041, contact number : 73586 31802"
1130,NISHTHARA,NISHTHARA,"( Sweet Memories ), Address - Shop No5, (Old No. 11A) New No 1/5, Big Street Kilpauk, Garden Road, Chennai 600 010., Mob 98844 23238"
1131,Nithiya Amirtham Indian Food Private Limied ( N ),Nithiya Amirtham Indian Food Private Limied,"No: 11,haddows lane,Thousand Lights West,, West Nungambakkam, Chennai, Tamil Nadu 600006., Mob:9585030744,86810 50855"
1132,Nithya Amitham India Foods (P) Ltd,Nithya Amitham Foods Ltd,"2/52A, Karunigar Street,Nerkundram,, Chennai-600107, Mob:8925989996"
1133,Nithya Jyothi.P,Nithya Jyothi.P,"Flat No:502,B Block,5th Floor,, Radiance Maendarin Apartment,, Pallavaram,Thoraipakkam 200ft Road,, Thoraipakkam,Chennai-600097., Mob:8056125319."
1134,Nitro Icecream Private Limited,Nitro Icecream,"Plot No 3211 78A 3rd Avenue, Anna Nagar, Chennai 600 040, Ph 99805 66077"
1135,NITSGOURMET,NITSGOURMET,"21/28, 2nd Street,, Vasantham Colony,, Anna Nagar,, Chennai 600040, Mob: 99404 65579"
1136,NK HOSPITALITY SERVICES PRIVATE LIMITED,NK HOSPITALITY,"PappaRoti, LG 32, Palladium Mall,, Next to Phoenix Mall,, Velechary Main Road, Chennai 600042_x000D_
, Mob 87882 43866"
1137,NKP EMPIRE VENTURES PRIVATE LIMITED,NKP EMPIRE VENTURES,"2/279, Unit No.1, First Floor,, Bulwark, Pillayarkovil Street,, Chennai, Tamil Nadu,, Tamil Nadu,_x000D_
600097, PH NO : 7026610045"
1138,N M Store,N M Store,"No:262.Trunk Road,, Poonamallee,Chennai-600056"
1139,N.N.CORPORATION,N.N.RPORATION,"Old No.8, New No.19, Flat No.G4, Ground Floor Lakshmi Street, Alagappa Nagar, Kilpauk, Chennai - 600010, Mob; 79048 60155"
1140,Noble Foods,Noble Foods,"OLD NO 10 NEW NO 21,, WALLACE GARDEN,, 3RD STREET, NUNGAMBAKKAM,, Chennai, Ph: 99621 62627"
1141,Nolita,Nolita,"32/1 16A B, KHDHAR NAVAWS ROAD,, NUNGAMBAKKAM, CHENNAI-600006, Mob-96771 62832"
1142,Nolita ( Ecr ),Nolita,"NOLITA, THE PROMENADE,, Anna Enclave Street,, Injambakkam,, Chennai,, 600115, Ph: 89394 61026"
1143,NOODLE BOWL_x000D_,NOODLE BOWL_x000D_,"NF45 Foods Street,, No 133, Poonamallee High Rd,, Vellapanchavadi, Chennai 600 077., Mob: 9500087696"
1144,Noodles Foods (India) Private Limited,Noodles Foods,"No.22, Old No.16, Varadaraipet Main Street,, Kodambakkam, Chennai- 600 024, Next to Meenakshi Collage, Mob - 99402 76794, Tel 044 43556555"
1145,NORTH STAR & CO,NORTH STAR &,"7/3,, 2nd Cross Street,, RA Puram, Chennai - 600028, 98841 69869"
1146,Nosh Foods Pvt Ltd,Nosh Foods,"No. 4/66 First Street, Nagalakshmi Nagar, Kattupakkam, Chennai 600 056, Ph : 044 4865 6665, 9080420106"
1147,Nouvelle,Nouvelle,"No:36/1,Elango Salai Cross Street,, Teynampet,Chennai-600014., Mob:9600151664/9361669618, 7022224777."
1148,Nova Recreation Club,Nova Recreation Club,"No.110 One Paramount,, Mount Poonamallee High Road,, Chennai-600116, Mob:8939105403"
1149,Novena Indusries,Novena Indusries,"No. 52, 53, Srinivasa Nagar, Aplapakkam Main Road, Madurayal  Chennai  - 600 095, Mob- 99 44 44 48 26"
1150,N S Mani Associates,N S Mani Associates,"No. 15/2 , Subbu Chetty Street,, Park Town, Chennai-600003, Mob-73580 64149"
1151,Nuhman,Nuhman,Mannadi Chennai
1152,Nusa Foods Private Limited,Nusa Foods,"C4 Selvam Apartments,, 37/7, Kambar Street,, East Tambaram,, Chennai-600 059, Mob-96001 88011"
1153,Nutrigamy Foods Private Limited,Nutrigamy Foods,"No:55,Jaganathapuram, 2nd St,, Kundrathur,Chennai-600069, Mob:9940335946"
1154,NUTS N SPICES,NUTS N SPICES,"New no.1 / Old no.15,, V.O.C. Colony 1ST Street,, Aminjikarai,, Chennai – 600 029., Contact no:  98844 08011 [ Mr. Baboolal ] / 98840 88989"
1155,Nuts N Spices ( Adyar ),Nuts N Spices,"Sunny Side, No:48/24,1st Main Road,, Gandhi Nagar,Adyar,, Chennai-600020., Ph:044-24456165,42695008."
1156,Nuts N Spices ( Anna Nagar ),Nuts N Spices,"Ana Baayan, No:57&58,AI Block,, 4th Avenue,Shanthi Colony,, Anna Nagar,Chennai-600040., Ph:044-26206178,42026424"
1157,Nuts N Spices ( Anna Nagar 6th Avenue ),Nuts N Spices,"Plot No:1017-C,I Block,, No:88,6th Avenue,Anna Nagar West,, Anna Nagar,Chennai-600040., Ph:044-26183470,43538261"
1158,Nuts N Spices ( Anna Nagar East ),Nuts N Spices,"No:F-52,1st Main Road,, Anna Nagar East,, Chennai-600102., Ph:044-26216178,42033180"
1159,Nuts N Spices ( Ashok Nagar ),Nuts N Spices,"Shivaji Parthagam, No:30/10,10th Avenue,, Ashok Nagar,Chennai-600083., Ph:044-24745033,43054990"
1160,Nuts N Spices ( Besant Nagar ),Nuts N Spices,"New No:8,Old No:25,, 3rd Avenue,Besant Nagar,, Chennai-600090., Ph:044-24464352,42123081."
1161,Nuts N Spices ( Chrompet ),Nuts N Spices,"No:407/7A,GST Road,, KAP Complex, Chrompet,Chennai-600044., Ph:044-22381040,42863470."
1162,Nuts N Spices ( Egmore ),Nuts N Spices,"Queens Court, New No:6/1,Old No:15/98,, Monteith,Egmore,, Chennai-600008., Ph:044-28552858."
1163,Nuts N Spices ( Gopalapuram ),Nuts N Spices,"Ganapathy Mandiram, Flat No:17,New No:19,Old No:3,, Conran Smith Road,, North Gopalapuram,, Chennai-600086., Ph:044-28350412,42106336."
1164,Nuts N Spices ( Harrington Road ),Nuts N Spices,"New No:8,Old No:104,, Harrington Road,16th Avenue,, Chennai-600031, Ph:044-28360989,42041390"
1165,Nuts N Spices ( Kilpauk ),Nuts N Spices,"Jamals Rajbhavan, Flat-A,No:15,Vasu Street,, Kilpauk,Chennai-600010., Ph:044-26480070,42859293."
1166,Nuts N Spices ( Knk ),Nuts N Spices,"Brindavan Apartments, New No:19,Old No:11,, Khader Nawazkhan Road,, Nungambakkam,Chennai-600006., Ph:044-28333343 / 9962994310"
1167,Nuts N Spices ( Nungambakkam ),Nuts N Spices,"No:75/34B,M.G.Road,, Nungambakkam,Chennai-600034., Ph:044-28268180,43596167."
1168,Nuts N Spices ( R.A.Puram ),Nuts N Spices,"No:18,3rd Cross Road,, R.A.Puram,Chennai-600028., Ph:044-24341146,42034884."
1169,Nuts N Spices ( T.Nagar ),Nuts N Spices,"New No:74,Old No:96,, G.N.Chetty Road,T.Nagar,, Chennai-600017., Ph:044-28340154,43575940"
1170,Nuts N Spices ( Valluvarkottam ),Nuts N Spices,"Yesde House, New No:167,Old No:131,, Valluvarkottam High Road,, Nungambakkam,Chennai-600034., Ph:044-28250443,42664073"
1171,Nuts & Pulses,Nuts & Pulses,"No.4/40, Muzafar Jung Bahadur Street,, Triplicane, Chennai, 044-43572500, +91-9840859500"
1172,Nuvali International,Nuvali,"S.No 325/1b P.No F,Chiranth Avenue,, Ramachandra Nagar, Chennai,600122, Mob:9677125537"
1173,NV Foods,NV Foods,"No:124,Mount Poonamallee High Road,, Porur,Chennai-600116."
1174,NVS SUPERR MART,NVS SUPERR MART,"NO 47,Shop Nos, A.B.C,, Jamals Luxor,, Poonamallee High Road,, Kattupakkam,, Chennai 600 056., Mob: 7299173327"
1175,Nyork Foods,Nyork Foods,"No. 1247/2B , 3rd Street, Golden Colony,, Anna Nagar West Extn,, Chennai - 600 050., Mob - 70101 04790"
1176,NZD Foods,NZD Foods,"On The Moo, 91/1 Harrington Road, Chetpet, Chennai 600 031"
1177,Oak Brands,Oak Brands,"NO 3, Thanthai Periyar Nagar,, 100 feet road, Kennedy Street,, Tharamani, Chennai-600113, Mob:8508250789"
1178,Oberoi Flight Services,Oberoi Flight,"( EIH Limited), Pallavaram, Chennai 600 044"
1179,Ocean Lifespaces India Private Limted,Ocean Lifespaces Private Limted,"MF1, Industrial  Estate Cipet Hotel Road,, Guindy,, Chennai - 600 032., Mob: 9841062395"
1180,OCEAN SUPER MARKET,OCEAN SUPER MARKET,"No 81-B, V.V.Koil Street, Thiruvalleeswarer Nagar, Chennai-600040, Mob:8220781819, 9094348801"
1181,OG Nutrition,OG Nutrition,"No:5/2,1st Floor,Ramaswamy Street,, TTK Road,Alwarpet,, Chennai-600018., Mob:9677099773/9884540035, :9952966716."
1182,Oho Shawarma,Oho Shawarma,"No:3/530,SSN Plaza,Ground Floor,, Perumbakkam Main Road,, Jalladianpet,Chennai-600100."
1183,OLD MADRAS BAKING COMPANY PRIVATE LIMITED (Old),OLD MADRAS BAKING MPANY,"Brindavan Apartments,, No.11, Khader Nawaz Khan Road,, Nungambakkam,, Chennai-600006, Tel-044 - 4852 8215, Kailash 9791023645"
1184,Old Madras Baking Company Pvt Ltd,Old Madras Baking mpany,"(OMBC Pvt Ltd), Plot No. 148, No. 1/807-B,, Pillayar Koil Street,, Thoraipakkam,, Chennai-600097, Ph:7200287797"
1185,Old Madras Baking Company Pvt Ltd ( Adyar ),Old Madras Baking mpany,"No:36,1st Cross Street,, Kasturibai Nagar,Adyar,, Chennai-600020., Number : 044-43210033."
1186,Old Madras Baking Company Pvt Ltd ( Alwarpet ),Old Madras Baking mpany,"No:279,T.T.K.Road,, Alwarpet,Chennai-600018., Number-044-42084422., ( Next to Airtel )"
1187,Old Madras Baking Company Pvt Ltd ( Anna Nagar ),Old Madras Baking mpany,"No:13/83,5th Avenue,, Anna Nagar,Chennai-600040., Number : 044-48559190., ( Opp to HDFC Bank )"
1188,Old Madras Baking Company Pvt Ltd ( Ashok Nagar ),Old Madras Baking mpany,"No:44,First Avenue,, Jawaharal Nehru Road,, Ashok Nagar,Chennai-600083., Number : 044 43081873."
1189,Old Madras Baking Company Pvt Ltd ( ECR ),Old Madras Baking mpany,"Harrington Plaza,, No:4/252,East Coast Road,, Neelankarai,Chennai-600115., Mob:7358748045."
1190,Old Madras Baking Company PVT Ltd (K),Old Madras Baking mpany,"25A Old No 11 Landons Road, Kilpauk, Chennai 600 010, Tel 044 48514580, Mob No. 0656190369"
1191,Old Madras Baking Company Pvt Ltd ( Nungambakkam ),Old Madras Baking mpany,"Brindavan Apartments, No:11,Khader Nawaz Khan Road,, Nungambakkam,Chennai-600034., Mob:6369799664"
1192,Old Madras Baking Company Pvt Ltd ( OMR ),Old Madras Baking mpany,"No:3,No:27/1B,, 200 Feet Link Road,, Thoraipakkam,Chennai-600097., Number : 044-35006764."
1193,Old Madras Baking Company Pvt Ltd ( Thiruvanmiyur ),Old Madras Baking mpany,"No:L-7,DR.VSI Estate,Phase-1,, Thiruvanmiyur,Chennai-600041, Mob:7200287797."
1194,Old Madras Baking Company Pvt Ltd ( T.Nagar ),Old Madras Baking mpany,"Old No:131,New No:94,, Habibullah Road,T.Nagar,, Chennai-600017., Number : 044 48648629., ( Opp:Karnataka Sanga School )"
1195,Old Mercara Foods LLP,Old Mercara Foods,"621, Anna Salai, Ground Floor, Model School Road, Thousand Lights, Chennai 600006, A/C No. 96770 66750 Pawan, New: 9384677551"
1196,Old Skool Cafe And Boutique Ventures Pvt Ltd,Old Skool Cafe And Boutique Ventures,"No 9/5 Nandhanam First Street, Nandhanam Extn, Chennai  600 035, Ph: 24340545    Mob:9962601609"
1197,OLD TOUCH FOODS,OLD TOUCH FOODS,"Plot No.47, Rajiv Gandhi Nagar,, Chennai, Tamil Nadu, 600107., Mob:7373777111"
1198,Olive Plus Twist Avenues Private Limited,Olive Plus Twist Avenues,"No:43/5,Hussain Mansion,, Greams Road,Thousand Light,, Chennai-600006., Mob:7401114627"
1199,Oliver Interors ( K ),Oliver Interors,"( Pedreno's ) OMR, 4/30 Kottivakkam, Before HCL Building, Next to French Loaf Bakery, CHENNAI 600  041, Ph 9600086606, Mr Senthil Kumar"
1200,Olive & Twist Hospitality Private Limited,Olive & Twist Hospitality,"No:16, 2nd Floor,Apollo Annex Building,, Wallace Garden 1st Street,, Near Apollo Hospitals,Chennai-600006., Ph 74011 14627, 9500095972, 32"
1201,Olive & Twist Hospitality Private Limited (Canvas),Olive & Twist Hospitality,"Corp Off: #16, Apollo Annex Building II Floor, Wallace Garden I Street, Nungambakkam,, Chennai -600 034, Ph 7401114601, 9500095972, 32"
1202,Om Kumaran Enterprises,Om Kumaran,"The Red Box, Kalyan Towers, New No 69 Old No 174C, 2nd Avenue Ashok Nagar, Chennai 600 083, Ph 89390 00433"
1203,OMR HOTELS,OMR HOTELS,"Crescent Restaurant, 1 Cholamannan Street,, Taramani Link Road,, Taramani, Chennai 600 113, Mob: 99625 65656"
1204,On De Roof,On De Roof,"Plot No:4683,AA Block Door,, No:4,2nd Avenue,, Chennai-600040., Mob:9790950331 / 7550248526."
1205,One O One Hospitality,One O One Hospitality,"Sankaran Avenue,, No:55C,Velachery Bypass Road,, Indira Gandhi Nagar,, Velachery,Chennai-600042., Mob: 9361547721"
1206,One World Academy,One World Academy,"4th Floor Rutland Towers, 33 Shafee Mohammed Road, Chennai 600 006, PH 9790916861"
1207,ONGRILL OMR,ONGRILL OMR,"No:1/2,OMR Service Road,, Rajiv Gandhi Salai,Anand Nagar,, Toraipakkam,Chennai-600097., Mob:6382705419"
1208,Onis Hotels Private Limited,Onis Hotels,"Old No, 5, New No, 17 Velachery Main Road,, Little Mount, Saidapet,, Chennai- 600015, Mob-97890 92382"
1209,Onora Hospitality Pvt Ltd,Onora Hospitality,"No 142 Phoenix Market City, Velachery, Chennai 600 042, Mob: 96117 78920, Mr. Dass"
1210,Oolong And The Jamaican,Oolong And The Jamaican,"6, Seshadri Road,, Alwarpet, Chennai 600 018, Mobile No. 7708545444"
1211,O&O Outlets,O&O Outlets,"No 33 Rutland Towers, Shaffee Mohammed Road, Chennai 600 006, Mr Baskar Rao, 97907 16861"
1212,Orange Elephant Bakers Private Limited,Orange Elephant Bakers,"No.10/77, Ground Floor, Pillaiyar Koil Street, Near Pillaiyar Koil, Shenoy Nagar,, Chennai - 600 030., Mob: 9360597502"
1213,Orange Square,Orange Square,"No 150 1st Floor, R K Salai, Mylapore, Chennai 600 004, Ph 9952052255"
1214,Oranze Super Market,Oranze Super Market,"Door No.4/1a, Ground Floor, Kalasathamman Koil Street, Ramapuram,, Chennai-600089, Mob:9790352390"
1215,ORBIT Traders,ORBIT Traders,"No:44,the Hive,, Pillayar Kovil Street,, Jawaharaal Nehru Road,, Chennai-600040"
1216,Orchard,Orchard,"SHOP NO CC2, MGR Main Road, Perungudi,, Chennai-600096, Mob:97898 58972"
1217,Orchard Foods,Orchard Foods,"No.1 Ganapathy Colony,, 1 St Street, Royapettah ,, Chennai-600014, Mob- 74012 56675, 72000 22410"
1218,Organic Heaven,Organic Heaven,"No:25B,Old Town Ship Road,, Ambattur,Chennai-600053, Mob:9500969969."
1219,Oriental Cuisines Pvt Ltd,Oriental Cuisines,"No 1 Kasturi Estate 1st Floor, 1st Street Poes Garden, Chennai 600 018"
1220,Oriental Cuisines Pvt Ltd ( BN C ),Oriental Cuisines,"No.T, 46 A, Annai Velankanni Road,, Anna Colony, Besant Nagar,, Chennai-600090, Mob-9007781576, ( Outlet Name - BS Confectionery ), French Loaf"
1221,Oriental Cuisines Pvt Ltd ( BN S ),Oriental Cuisines,"No.4Th Main Road,Elliot's Promenade,, Besant Nagar, Chennai-600090, Mob-9025454250, ( Outlet Name - Besant Nagar Sandys kitchen )"
1222,Oriental Cuisines Pvt Ltd ( ECR ),Oriental Cuisines,"No,56, Promenade Building,, 1A, SH 49, Anna Enclave,, Injambakkam, Chennai-600041, Mob-6374529508"
1223,Oriental Cuisines Pvt Ltd ( RAP D ),Oriental Cuisines,"No.84,1st Main Rd, opposite to RR Donnelley,, Raja Annamalai Puram,, Chennai-600028, Mob-9600643826, ( Outlet Name - RAP Dessert )"
1224,Oriental Cuisines Pvt Ltd ( RAP S ),Oriental Cuisines,"No.84,1st Main Rd, opposite to RR Donnelley,, Raja Annamalai Puram,, Chennai-600028, Mob-7418417527, ( Outlet Name - RAP Sandys Kitchen )"
1225,Oriental Cuisines Pvt Ltd ( WG ),Oriental Cuisines,"No.16, Sandys Chocolate Laboratory,, Wallace Garden 2nd Street,, Nungambakkam Chennai-600006, Mob- 9087918814"
1226,Oriental Foods,Oriental Foods,"No:10,MSS Nagar,, Kumananchavadi,Chennai-600056, Mob:9442294061"
1227,Oriental Hotels Ltd,Oriental Hotels Ltd,"(Taj Coromandel), No 37 Mahathma Gandhi Road, Chennai 600 034"
1228,ORIGIN NUTRITION PRIVATE LIMITED,ORIGIN NUTRITION,"4, SP 7A,, Industrial Estate,, Guindy,, Chennai, Chennai,, Tamil Nadu, 600032, PH : 9884824355"
1229,Oscines Innovations Private Limited,Oscines Innovations,"5/339 Okkiyumpettai, Rajiv Gandhi Salai OMR, Chennai 600 009, Mob 9677214837, Mr. Prashant"
1230,Outdoor Catering Services (Hindustan),Outdoor Catering,"Hindustan College Jupiter Hostel Store, Rajiv Gandhi Salai,OMR Road,, Padur,Kelambakkam,, Chennai-603103., Mob:6381632816, ( delivery at Outdoor Catering Services (Tagore) )"
1231,Outdoor Catering Services (Tagore),Outdoor Catering,"Tagore College Store, Tagore Medical College & Hospital, Rathinamangalam,, Melakottaiyur,Chennai-600127., Mob:9952905588"
1232,Outdoor Catering Services (VIT-Chennai),Outdoor Catering,"VIT-Chennai, Kelambakkam-Vandalur Road,, Rajan Nagar,, Kelambakkam,Chennai-600127., Mob:8940691124"
1233,Oven 180 Degree,Oven 180 Degree,"Rose Anne, Ramaniyam Eden, Block 1/3A Velachery Road, Next to Velachery Police Station, Chennai 600042, Ph 9566217475"
1234,Oven Oon K,Oven Oon K,"S.No 30/2, Nadaipathai Street, Venkatapuram Village, Kundrathur,, Chennai, Kancheepuram, Ph;9710536939"
1235,O.V.S Super Market,O.V.S Super Market,"No.5, Sambandham Nagar Main Road,, Kundrathur, Chennai, Kancheepuram,, Tamil Nadu, 600069, Mob:8148502266,8807772497"
1236,Ox And Tomato,Ox And Tomato,"No,91/1 Harrington Road,, Chetpet,, Chennai -600021, Tel- 044 - 4208 4567, 044430 60009, 04442081925"
1237,Oxygen Enterprises,Oxygen,"No:48/9,Punjab Garden Street,, West Mambalam,Chennai-600033., Mob:8122392524."
1238,Oyama,Oyama,"61/28, 3rd Main Road, Gandhi Nagar,, Adayar,Chennai, Chennai-600020, Tel- 044 35 55 23 49, Mob- 98411 13001"
1239,Paari Enterprises,Paari,"Kolapakkam,, Chennai-600128, Mob-9677125537"
1240,Pacific Foods IN,Pacific Foods IN,"3/2, Venkata Narayana Road,, T Nagar, Chennai - 600017, Mob- 9940545307"
1241,Pacific Logistics India Private Limited,Pacific Logistics,"1st Floor, Old No. 83,, New No 171, Linghi Chetty Street,, Mannady, Chennai - 600 001., Mob: 9381177122."
1242,Paddy Hospitality Private Limited,Paddy Hospitality,"378A, New Plot,, No 152, A Survey No 214/2 and 224, Mohan Ram Nagar, Mugappair,, Chennai 600037., Mob: 70806 05910."
1243,Pahel Enterprises,Pahel,"Ground Floor, 59/25, Aziz Mulk 2nd Street,, Thousand Lights, Chennai,Tamil Nadu, 600006, Mob:9653631874"
1244,Palace bakery,Palace bakery,"(Atchaya Office Suppliers), P.NO.11, Perumalpuram Phase-4, Puthur Village, Chennai, Kancheepuram-600126, Mob:9944690680"
1245,PALANIAPPAN,PALANIAPPAN,"Kasi Theatre, Ashok Nagar,Jn Road,, Chennai-600083., Mob:9677160530"
1246,Palani G Periya Swamy,Palani G Periya Swamy,"Le Royal Meridien, Chennai"
1247,Palazzo Foods,Palazzo Foods,"NO 2, Varadharajapuram Main Road,, Chennai Snacks,, Pallikaranai, Chennai - 600100, Contact No : 9600142839"
1248,Palmgrove Beach Hotels Private Limited,Palmgrove Beach Hotels,"564 Anna Salai Teynampet, Chennai 600018"
1249,Pandiyan Stores,Pandiyan Stores,"No,293/503, Poonamalle High Road,, Aminjikarai,Chennai-600033, Mob-9841291815"
1250,Pandora ( Mangadu ),Pandora,"No:8, Manali Saravana Nagar,, Mangadu,  Chennai-600122., Mob:9551113212"
1251,Pan India Food Solutions Private Limited,Pan Food,"The Coffee Bean and Tea Leaf, Phoenix Market City Mall Unit No:142, First Floor,Velachery Main Road,, Chennai 600 042, Mob: 7349072138"
1252,Pantry Dor,Pantry Dor,"No 21/11 J Block 6th Avenue, Anna Nagar, Chennai 600 102, Tel 044 26212112, Mob:9952866623."
1253,Paras Mobile,Paras Mobile,"39/11 ,Durai Swamy Road,, Vadapalani, Chennai-600026, Mob:9841323569"
1254,Parijatham Food Works,Parijatham Food Works,"No:13/7, Narayana Naicken St,, Pudupet, Chennai- Tamilnadu -600002, Mob:9150865559"
1255,Pascah Restaurant,Pascah Restaurant,"No:3,Kamaraj Nagar,, Main Road,Avadi,Chennai-600071., Mob:9884097730."
1256,Pasi Magnet,Pasi Magnet,"No:2/15,Mount Ponnamallee High Road,, Ramapuram,Chennai-600089., Mob:8056982397."
1257,Passion Potato Pvt Ltd,Passion Potato,"No.11, Chozan Street, Vigneshwara Nagar,, Porur Chennai - 600116, (Landmark- Near St.Mary's school or Opp.road to Bharath petroleum fuel stat), Mob 9677 296111, Tel No 044 43305222, 8754509111"
1258,Pastel Green ( C ),Pastel Green,"F1 LAKSHMI APARTMENTS NO.146A, C BLOCK VELLALAR STREET, MUGAPPAIR WEST CHENNAI"
1259,Pastry Maniaa,Pastry Maniaa,"Door No :26, First Floor Sourther,, Hall Road,, Kilpauk,, Chennai-600010, Mob:9840070505"
1260,Pasumai Super Market,Pasumai Super Market,"No.14,0ld Township Road,, Venkatapuram, Ambattur,, Chennai-600053, Mob:9940952889"
1261,Paulsons Beauty & Fashion Private Ltd New,Paulsons Beauty & Fashion Private Ltd New,"No:18,Halls Road,, Opp to Classic Clean,Kilpauk,, Chennai-600010., Mob:9884229014."
1262,Paulsons Beauty & Fashion Private Ltd New ( Ecr ),Paulsons Beauty & Fashion Private Ltd New,"No :4-324,, Sankarapuram Fist St,, Palavakkam, Chennai - 600041, contact no : 9092091609"
1263,Paulsons Beauty & Fashion Private Ltd ( Phoenix ),Paulsons Beauty & Fashion Private Ltd,"no :142, Phoenix Market City,, Velachery Rd, Indira Gandhi Nagar,, Velachery,, chennai - 600042, contact no : 9092091609"
1264,Paulsons Beauty & Fashion Private Ltd (Vijaya Mall),Paulsons Beauty & Fashion Private Ltd,"NO:428, Forum Vijaya Mall,, Vadapalani,, chennai : 600026, contact no : 9092091609"
1265,pazhamuthir cholai,pazhamuthir cholai,"No:1&2, Pillaiyat Koil Street,, poonamallee,, Chennai-600056, Mob:9176420137"
1266,P.B.Enterprises,P.B.,"No. 75/6, Godown Street,, Shop No. 6, 1st Floor,, Chennai-600001, Mob-98413 10911"
1267,P Cube,P Cube,"Orange Wok, 100 Feet Road Velacherry, Next To Wild Craft, Chennai 600 042, Mob 9445234704, Tel-2244 1056/76"
1268,P CUBE (EA),P CUBE,"Express Avenue Infrastructure Pvt Ltd, No.2, Club House Road, Mount Road, Chennai - 600 002, Mob 94452 34701, 94452 34703"
1269,P CUBE (N),P CUBE,"No. 11  Khader Nawaz Khan Road, Nungambakkam, Chennai - 600 034, Mob No. 9176442261"
1270,P Cube (S),P Cube,"(Orange Wok), No 2 Vaikunth Estate, Sholinganallur OMR, Near Semmancherry Police Station, Chennai 600 119, Mob 79042 89029, A/c NO. 9445234703"
1271,P Cube (T),P Cube,"Door No 4/410, Rajiv Gandhi Salai, Thoraipakkam OMR, Chennai 600 097, Mob No. 70105 71763"
1272,Pearl Breads,Pearl Breads,"No. 573, Sivaprakasam Nagar, North 4th Street Surapet, Chennai - 600 066, Mob No. 9941940000"
1273,Pedreno's Foods & Beverages Private Limited,Pedreno's Foods & Beverages,"No 13/08 Oliver Road, Mylapore Chennai 600 004, Ph 98400 76377, Tel 044 24996601/24543314, Pur 9080306547"
1274,PEP ASIA,PEP ASIA,"New no 27D, old no 12D,, North Boag road,, T.Nagar, Chennai-600017, Opposite to Sri Mahalakshmi Silks., Mob: 98413 20744"
1275,Periya Andavar Agency,Periya Andavar,"3/2, Plot no 20,, Vembuli Street,, Senthamil Nagar,, Ramapuram,, Chennai 600089, mob no : 9841240818"
1276,Picklers Arena Private Limited,Picklers Arena,"Ground floor, no:5, 5th street,, krishna nagar,, Maduravoyal, Chennai -600095, Ph: 7339030555"
1277,Picmas Foods,Picmas Foods,"2nd Floor, No 20b KNK Road, Nungambakkam, Chennai 600 006, Mob 9962527869, Mr.Mustafa Inayath"
1278,Pink Cupcakers,Pink Cupcakers,"No:16b,Alapakkam Main Road,, Lakshmi Nagar,Maduravoyal,, Chennai-600095., Mob: 9884792909 / 9940545017, Opp : AGS Cinemas"
1279,Pink Cup Cakes,Pink Cup Cakes,"No:16b,Alapakkam Main Road,, Lakshmi Nagar,Maduravoyal,, Chennai-600095., Mob: 9884792909 / 9940545017, Opp : AGS Cinemas"
1280,Pink Passion Foods Private Limited,Pink Passion Foods,"(Sigree), Plot No 4737 New Door No 17 19&21, Old Door NoAA24 (AA Block), 3rd Street Anna Nagar East, Chennai 600 040, Tel 9884321537, Tel- 044 26201512 , 42327078"
1281,Piyush Arya,Piyush Arya,"29 LP Ramaswamy Lyer Road, Sriram Colony, Abiramapuram, Chennai 600 004, Phone 044 42696288, 99620 48088"
1282,Pizza Boy,Pizza Boy,"Shop No:4,Plot No:26&27 A,, Annai Velankanni Nagar,Mugalivakkam,, Chennai-600125., Mob:8508250789."
1283,Pizza Mechanics Private Limited,Pizza Mechanics,"No:164/27B,, Doctor P.J.Thomas Avenue,, Injambakkam,Chennai-600115., Mob:9884656311."
1284,P.K.FOODS,P.K.FOODS,"Ground Floor, 17,, Lakshmannan Nagar Main Road, Peravallur, Chennai,, Tamil Nadu, 600082, ph:8870966116"
1285,P.K.SHEFI,P.K.SHEFI,"Pop N Hop,, IRCTC Food Plaza,, Velachery Railway Station,, Chennai-600042."
1286,Plated Stories,Plated Stories,"Plot No 15, 2nd Street Natesan Colony Laks, Sriram Avenue,, Kottivakkam,, Chennai - 600 041., Mob: 8939455408."
1287,PLATTER FOODS PRIVATE LIMITED,PLATTER FOODS,"( FIka Restaurant ), NO.13, GANDHI NAGAR,, 2ND MAIN ROAD,ADYAR,, CHENNAI-600020, MOB-82208 81769, 98402 13970, 98404 46478"
1288,P& L Enterprises,P& L,"Second, 313, Voc Nagar 12th Street, Pulianthope, Chennai,, Tamil Nadu, 600012, Ph:720054429"
1289,Ploutus Foods India Private Limited,Ploutus Foods,"DLF Cyper City Ramapuram, 119,O.No.9,Arcot Road, Chennai-600087"
1290,Ponni Enterprises Super Market,Ponni Super Market,"Jayalakshmi Nagar Main Road,, Jayalakshmi Nagar, Kattupakkam,, Chennai - 600 056., Mob:9840623991"
1291,Ponnis Grand,Ponnis Grand,"Ponnis Grand Inn, No 182 Mount Poonamallee Road, Kattupakkam Chennai 56, Phone: +91 44 - 43801383 /84/85, Mob : 9840880230"
1292,PONNU SUPER MARKET,PONNU SUPER MARKET,"NO 1/7,Sivanbootham Village,, Poonamallee High Road,, Vanagaram,, Chennai-600095, Mob:9840391001 , 8608049997"
