Sl_No,Restaurant,Address,Detected_Cuisines,Total_SKU_Score
865,Mearth Cafe,"No:24/58,2 Main Road,, R.A.Puram,Chennai-600028., Mob:9094949480.",Cafe_Bakery,1.2
2090,VETTRI CAFETERIA,"Grand Southern Trunk Road, (VETTRI THEATRE), Reserve Bank Colony, Chromepet, Chennai 600 044, Mr.Arivanandham, 95001 77188",Cafe_Bakery,1.2
1633,"SLN COFFEE PRIVATE LIMITED_x000D_
_x000D_","No14, Ground Floor,, PS Apparels, Race Course Road,, PS Apparels, Guindy,, Chennai - 600 032., Mob: 90947 32577., Name: Mohan Raj",Cafe_Bakery,1.2
274,Coffee Tree Cafe,"Old No 88 New No 40, Greeways Road  R A Puram, Chennai, Mob- 7395957043, Tel- 044 42343535",Cafe_Bakery,1.2
721,Kreate Cafe by Kraft,"Headquarters, CMRL,, Anna Salai, Nandanam, Chennai - 600 035,, MoB:78069 45031",Cafe_Bakery,1.2
1125,Nice Cafe,"No.West Periya Pathai, 100 Feet Road, Choolaimedu, Chennai 600094, Ph: 9884966483",Cafe_Bakery,1.2
58,Annapoorani Cafe,"No :1, Agrahara Street,, Avadi, Chennai-054, Mob:9940197442",Cafe_Bakery,1.2
1432,Roast House,"Madha Kovil St, Okkiyam Thoraipakkam, No 11 Fc Jains Pebble Brook, Chennai Tamil Nadu 600096, Mob:9176969412",Cafe_Bakery,1.2
671,JOHNNYS CAFE,"No:283/1A,Kerugambakkam,, Kundrathur,Chennai-600128.",Cafe_Bakery,1.2
32,Alankar Bakery,"No:14/3,Bharathidasan Street,, Bangalore to Chennai by Pass Road,, Arcot-632503., Mob:9791933705",Cafe_Bakery,1.2
33,AL FRESCO CAFE,"No.80, Plot No.19B,, City Recreation Building,, New Avadi Road, Alagappan Nagar,, Kilpauk,, chennai - 600010, Contact No : 9551154012",Cafe_Bakery,1.2
1407,Relax Cafe,"No:15,C.L.C Works Road,, New Colony,Chrompet,, Chennai-600044., Mob:7902719729",Cafe_Bakery,1.2
702,Kat and Kin Coffee Roasters,"No : 4/350, 5th South Cross St,, Sri Kapaleeswarar Nagar,, Neelankarai,, Chennai - 600041, mob no : 9840074669",Cafe_Bakery,1.2
498,FIRST COFFEE,"Ground floor, Door No 30/2 I block,, 9th Street, 1st Main Road,, Near Ferns N petals,, Anna Nagar East,, chennai - 600102, Mob No : 7358180743",Cafe_Bakery,1.2
1829,SUSHI BASKET,"No 295 1st Floor, Nehru Street, Thirumangalam, Anna Nagar West, Chennai 600 040, Mob. 99496 51110",Japanese,1.2
706,KCS Coffee Snacks,"No:18,Ganthi 1st Cross Street,, Solinganallur,Chennai-600119., Contanct No:9884899164",Cafe_Bakery,1.2
133,Beachville Coffee Private Limited,"Old No -64.New No-21, 4th Street Abhiramapuram, Chennai-600018, Mob: 6379190620",Cafe_Bakery,1.2
663,Jk Delight Food Products (Garuda Cafe),"158, Gulecha Towers, Arcot Rd, opposite to Nexus Vijaya Mall, Ottagapalayam, Somasundara Bharathi Nagar, Vadapalani,, Chennai-600026",Cafe_Bakery,1.2
714,Kora Cafe Private Limited,"( Cheese Cafe ), No 340/1- 341/16, Second Avenue, Anna Nagar, Chennai 600040, mob:76958 61553",Cafe_Bakery,1.2
919,Mokchi Cafe,"No:28,Bazzar Streer,, Ram Nagar,Kaiveli,, Madipakkam,Chennai-600091., Mob:7395839222",Cafe_Bakery,1.2
1586,Shree Mas Bakery,"Pc2/2, Kambar Salai,, Mugappair West,, Chennai-600 037., Mob:9790859108",Cafe_Bakery,1.2
275,COFFEE VILLAGE,"S1, 153, FOODYS ZONE,, Chandrasekaran Avenue Main Road,, Okkiyam Thoraipakkam, Chennai,, Tamil Nadu, 600096, Mob:9994348435",Cafe_Bakery,1.2
41,Amethyst Cafe Pvt Ltd,"Whites Road, Royapettah, Chennai 600 014, Ph 98401 20554, Tel No 044 4599 1630 31 32",Cafe_Bakery,1.2
477,Everest Bakery,"No.75 Thulasingam Street,, Perambur,Chennai-600011, Mob-86800 13313",Cafe_Bakery,1.2
1913,THE ENTRANCE CAFE,"( Upstream Sports Centre Private Limited), No.18/63, Taylors Road,, Chennai 600 010., Mob: 91500 47764",Cafe_Bakery,1.2
318,Crispy Crust Pizzeria And Cafe,"1A IIT Colony VelacherryMain Road, Narayanapuram, Pallikaranai, Chennai 600100",Cafe_Bakery,1.2
1946,The Potroast,"Plot No-5, Maxworth Nagar - Phase-Ll, Opp: Ponvidhyashram School,, Kolapakkam,Porur, Chennai - 600122, T: 044- 48599002, ​M: 9962612121​.",Cafe_Bakery,1.2
120,Bakery Garden,"No 22b College Road, Nanganallur, Chennai, 9710432433",Cafe_Bakery,1.2
2189,Zenith Retailing Cafe,"Plot No:3,Madipakkam Main Road,, Velachery,Chennai-600091., Tel 044 43594826 43564826",Cafe_Bakery,1.2
1245,Palace bakery,"(Atchaya Office Suppliers), P.NO.11, Perumalpuram Phase-4, Puthur Village, Chennai, Kancheepuram-600126, Mob:9944690680",Cafe_Bakery,1.2
195,Cafe Arabica,"No 4 E Block 3 Rd Avenue, Anna Nagar East, Chennai 600102, Mob:9840073713",Cafe_Bakery,1.2
349,D Cafe,"No. 35A, Bassulla Raod,, T Nagar,, Chennai, Mob-99628 32233",Cafe_Bakery,1.2
1961,The Smith's Cafe and Bakery,"Ground Floor, No. 10/3, The Smith' S, Cafe and Bakery, Balaji Nagar, 2nd Cross Street, Kolathur Chennai, Ph:98841 65771",Cafe_Bakery,1.2
1052,Ms Shriya's Patisserie,"Chennai, Ph 9884016622",Cafe_Bakery,1.2
198,Cafe Nirvanaa Private Limited,"Striling road 3 Cross Rd, Nungambakkam Chennai-600034, Mob-99942 31965, 90250 69015",Cafe_Bakery,1.2
1703,SREE RAAJAN BAKERY,"Ground Floor ,Door No.14-5/8,, MMDA Colony,, Maduravoyal,, Chennai-600 095., Mob:9884676248 / 9445060457",Cafe_Bakery,1.2
797,Luck Cafe,"Old No:54,New No:41,, Sardar Patel,Raj Bhavan Road,, Guindy,Chennai-600032., Mob: 9551141797",Cafe_Bakery,1.2
197,Cafe H,"No 42 1 Shanthinikethan Colony, Anna Nagar West Extn, Chennai 600 101, Mob 9840165539, 9443064541",Cafe_Bakery,1.2
1507,Sans Coffee Culture,"14 Gangai Street, Kalakshetra Colony, Besant Nagar, Chennai 600 090., Mob 96326 74649",Cafe_Bakery,1.2
567,Grillix,"12, Unic Foodies Hub, Sudharsan, Nagar Madambakkam Main Road,, Madambakkam Sub Post Office,, Madambakkam, Chennai, Chengalpattu,, Tamil Nadu, 600126, Ph:9176962004",Unknown,1.15
228,Charis Bespoke Cake Artist,"C5,Abhinav Kailash,, No:19A,Velachery Main Road,, Venkta Puram,Saidapet,, Chennai-600015., Mob:9176350487",Unknown,1.1
1460,Ruban's Steakhouse,"(Mohan Rao Ruban Moses), Ambattur , Chennai - 600 053, Mob No: 7708145894 9841991198",Unknown,1.05
1380,Ramen Effect Private Limited,"GROUND FLOOR, 7TH STREET BALAJI, NAGAR ALWARTHIRUNAGAR,, NERKUNDRAM, CHENNAI, TIRUVALLUR,, Tiruvallur, Tamil Nadu, 600087, Mob- 79047 46616",Japanese,1.05
1183,Oho Shawarma,"No:3/530,SSN Plaza,Ground Floor,, Perumbakkam Main Road,, Jalladianpet,Chennai-600100.",Arabian,0.75
633,I Shawarma U,"No:1/54,Singara Naicker Street,, Chettiyar Agaram,Chennai-600077.",Arabian,0.75
1937,The Madras Shawarma,"No:130/64,Vanniyar Street,, Choolaimedu,Chennai-600094.",Arabian,0.75
1552,Seoul,"No. 5/1, Mullai Nagar Main Road,, Ramapuram,Chennai-600089, Mob-91761 96170",Korean,0.55
1553,Seoul Store Trading Pvt Ltd,"Shop No 11 Ground Floor, 96 Kaveri Complex, M G Road Nungambakkam, Chennai 600 034, Phone: 044 4311 1797, Makesh No:9087884677, A/c No:9087884688, Prashanth",Korean,0.55
1110,Neelberry Foods Private Limited,"No.4/640, 1st Floor, 12th Link, 3rd Street, Nehru Nagar,, Kottivakkam, Chennai - 600041, Mob-741 88 47 396",Unknown,0.4
523,Fried N Fries,"No:10/29, 47th St, Ashok Nagar,, Chennai-600083, Mob:9551604171",Fast_Food,0.25
1352,Quick2Shelf Food Solutions Private Limited (K),"No 4/245, Sri Devi Nagar, 1st Street, Noombal Road, Goparasanallur Village,, Kattupakkam, Chennai 600 056., Mob 8807860913, Mr. Sathya Prakash. K",Fast_Food,0.25
1435,Roll Away By Radioroom,"Ground Floor Old No : 55 New No : 115, Roll Away by Radio Room, TTK Road, Opposite Narada Ghana Sabha, Alwarpet, Chennai : 600018, Mob 8870888486 , 9789767333, ( Social Restaurants Private Limited )",Fast_Food,0.25
1501,SANDWICH SQUARE,"No. 476/2 Anna Salai, Teynampet, Chennai 600 006, Mob 96006 21282",Fast_Food,0.25
1351,Quick2Shelf Food Solutions Private Limited,"No-112B,PH Road, Velappanchavadi, Chennai-600077, Mob 88803 90577, Mr. Basha",Fast_Food,0.25
177,Break Your Burger,"4/1, Valluvar Salai, Ramapuram,, Chennai 600089, 7200221848",Fast_Food,0.25
482,Express Infrastructure Pvt Ltd,"No 2 Club House Road Mount Road, Chennai 600 002, Ph 044 28463354",Fast_Food,0.25
1497,Sams Sandwich,"5, Alappakkam Main Road, Valasaravakkam, Chennai - 600 087, Mob No. 9791140553",Fast_Food,0.25
777,Le Wrap Factorie,"No:24,3rd Street,, Parthasarathy Nagar,, Chennai-600088., Mob:9176448678.",Fast_Food,0.25
436,ECO - WRAP SOLUTIONS & SERVICES,"Ground Floor, 10, Aditya Flats, 8th Street,, Sri devi Nagar, Alapakkam, Chennai-600116, Mob-8144045353",Fast_Food,0.25
2165,Wrapsody Foods Pvt Ltd,"Plot No 2 Gentle Tides, Injambakkam, East Coast Road, Next to VGP Gloden Beach, Chennai 600 115, Mob 99004 57794,",Fast_Food,0.25
1905,The Chinese Story,"No. 4, Mount Poonamalle High Road,, ( Opp. DLF ) Ramapuram ,Porur ,, Chennai - 600 089, Tel No.044 433 1223",Chinese,0.25
1227,Oriental Foods,"No:10,MSS Nagar,, Kumananchavadi,Chennai-600056, Mob:9442294061",Chinese,0.25
1226,Oriental Cuisines Pvt Ltd ( WG ),"No.16, Sandys Chocolate Laboratory,, Wallace Garden 2nd Street,, Nungambakkam Chennai-600006, Mob- 9087918814",Chinese,0.25
1225,Oriental Cuisines Pvt Ltd ( RAP S ),"No.84,1st Main Rd, opposite to RR Donnelley,, Raja Annamalai Puram,, Chennai-600028, Mob-7418417527, ( Outlet Name - RAP Sandys Kitchen )",Chinese,0.25
1224,Oriental Cuisines Pvt Ltd ( RAP D ),"No.84,1st Main Rd, opposite to RR Donnelley,, Raja Annamalai Puram,, Chennai-600028, Mob-9600643826, ( Outlet Name - RAP Dessert )",Chinese,0.25
1223,Oriental Cuisines Pvt Ltd ( ECR ),"No,56, Promenade Building,, 1A, SH 49, Anna Enclave,, Injambakkam, Chennai-600041, Mob-6374529508",Chinese,0.25
1222,Oriental Cuisines Pvt Ltd ( BN S ),"No.4Th Main Road,Elliot's Promenade,, Besant Nagar, Chennai-600090, Mob-9025454250, ( Outlet Name - Besant Nagar Sandys kitchen )",Chinese,0.25
1221,Oriental Cuisines Pvt Ltd ( BN C ),"No.T, 46 A, Annai Velankanni Road,, Anna Colony, Besant Nagar,, Chennai-600090, Mob-9007781576, ( Outlet Name - BS Confectionery ), French Loaf",Chinese,0.25
1220,Oriental Cuisines Pvt Ltd,"No 1 Kasturi Estate 1st Floor, 1st Street Poes Garden, Chennai 600 018",Chinese,0.25
929,MOZ BURGER,"No. 3/15 Jawaharlal Nehru Road,, Ekkatuthangal, Chennai 600 032, (Opp Hyundai Showroom), Ph: 98406 91851, 044 43584409",Fast_Food,0.25
1730,Sri Krishna Sweets,"No.81 Vukan Tower Manyava 2nd Floor,, Thirumalai Pillai Road,, T Nagar, Chennai-600017, Mob-98407 69093",Sweets,0.05
1081,My Sweet India Food Products Private Limited,"No. 5/1 Alagapuri Main Road,, Ramapuram  Tiruvallur, Chennai 600 089, Mob-89399 11666, 99410 06818",Sweets,0.05
1830,Suswaad Sweets and Savouries (P) Ltd,"3/2 Venkataram Street, T.Nagar, Chennai, 9940064680",Sweets,0.05
12,Adyar Ananda Bhavan Sweets India Pvt Ltd,"No. 53, Industrial Estate Ambattur, Industrial Estate  Ambattur, Chennai - 600 058, Tel No: 044 42 333 333","South_Indian, Sweets",0.05
1692,Sree Akshayam Sweets 'N' Bakers,"No 49 50 51 Lake View Garden, Korattur Chennai 600 076, 9751525316",Sweets,0.05
